company_id,SIC_CD_3,final_score,decision,score_cf_alignment,reason_cf_alignment,score_actionability,reason_actionability,score_business_insight,reason_business_insight,score_logic_flow,reason_logic_flow,score_completeness,reason_completeness,score_clarity,reason_clarity,cf_alignment_match_rate,cf_alignment_n_matched,cf_alignment_n_ground_truth
3669,G46,3.35,Conditional Pass,2,Just 6/20 ground-truth CF values (30%) matched; most figures are missing or incorrect.,3,"The report outlines specific improvement targets and actions but lacks clear assignment of responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and less actionable.",4,"The report provides a comprehensive strategic insight into the company's financial challenges and improvement targets, particularly emphasizing actionable steps to stabilize operations and reduce bankruptcy risk, which is critical for survival in the volatile wholesale trade sector.",4,"The report presents a logically coherent flow, with clear causal links between identified financial challenges and proposed actions, particularly in the Improvement Scenarios and Action Roadmap sections, although the extreme percentage changes in financial metrics may raise questions about their practical implications.",5,"The report includes all 6 required sections with sufficient substance, providing a comprehensive analysis of the company's financial status, improvement scenarios, actionable steps, risk management strategies, and performance KPIs, all of which are clearly articulated and relevant to the company's objectives.",4,"The report is mostly clear and accessible, with specific financial metrics and improvement targets, but it contains some excessive jargon (e.g., 'bankruptcy probability' and 'Reserve Ratio') that may not be easily understood by all executive readers.",0.3,6,20
4277,F42,3.8,Pass,5,19/20 ground-truth CF values (95%) found verbatim (within tolerance) in the report.,3,"While the report outlines significant financial challenges and proposes a roadmap with short- and medium-term actions, it lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides strategic insights into the company's financial challenges and actionable improvement scenarios, such as focusing on liquidity and operational efficiency, which are critical for survival in the financial consulting sector.",3,"The report presents a coherent flow of information regarding the company's financial challenges and proposed improvements; however, the drastic changes in financial metrics raise concerns about the feasibility of the proposed actions and their causal relationships, particularly the link between asset liquidation and improved financial health.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Current Status Analysis and Improvement Scenarios, but could enhance the Action Roadmap and Risk Management sections with more detailed strategies and specific actions.",3,"The report contains clear sections and structured information, but it uses excessive financial jargon and complex metrics (e.g., 'bankruptcy probability reduction target' and 'Debt Service Coverage Ratio') that may not be easily understood by all executive readers, potentially hindering accessibility.",0.95,19,20
4451,F42,3.35,Conditional Pass,3,Only 12/20 ground-truth CF values (60%) matched; at least one key figure appears miscalculated or omitted.,3,"While the report outlines clear targets and short-term actions, it lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and less actionable starting tomorrow.",4,"The report provides a comprehensive strategic framework for improving financial health, including specific targets and an actionable roadmap, which reflects a genuine understanding of the firm's sector challenges and opportunities, particularly in managing liquidity and operational efficiency.",3,"The report presents a logical flow in outlining the financial restructuring plan, but the causal reasoning is weakened by the conflicting indicators of the proximity and sparsity scores, which suggest both minor and significant adjustments are needed, creating ambiguity in the feasibility of achieving the proposed targets.",4,"The report includes all 6 required sections and provides substantial detail in each, particularly in the Current Status Analysis and Improvement Scenarios, but could enhance the Action Roadmap with more specific timelines and responsibilities.",4,"The report is generally clear and accessible, using straightforward language and providing specific numerical targets; however, some terms like 'proximity score' and 'sparsity score' may be too technical for executive readers unfamiliar with financial jargon.",0.6,12,20
4484,G46,3.2,Reject,2,Just 8/20 ground-truth CF values (40%) matched; most figures are missing or incorrect.,3,"The report outlines clear improvement targets and short- to medium-term actions, but lacks specific responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides strategic insights into the company's financial health, highlighting significant improvements in bankruptcy probability and liquidity, while also identifying specific areas for further enhancement and risk management, which are crucial for survival in the wholesale trade sector.",4,"The report presents a logically coherent flow, with clear causal relationships between improved financial metrics and strategic actions, although some numerical claims could benefit from clarification to enhance overall understanding.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Executive Summary and Current Status Analysis, but could benefit from more detailed metrics and specific timelines in the Action Roadmap and Risk Management sections.",3,"The report contains clear numerical data and improvement metrics, but it uses terms like 'Sparsity' and 'quality score' without sufficient explanation, which may confuse executive readers unfamiliar with these concepts.",0.4,8,20
4684,G46,2.7,Reject,3,Only 12/20 ground-truth CF values (60%) matched; at least one key figure appears miscalculated or omitted.,2,"The proposal lacks specific responsible parties, deadlines, and clear methodologies for implementation, making it abstract and impractical despite outlining ambitious financial targets.",3,"While the report outlines significant financial adjustments and a clear action roadmap, it primarily focuses on drastic asset liquidation and increasing liabilities without providing a comprehensive strategic framework or addressing potential operational impacts, which may not align with sustainable business practices.",2,"The report presents a series of drastic financial adjustments, such as complete liquidation of assets, which undermines operational capacity and raises concerns about liquidity management, leading to a lack of coherent causal reasoning in achieving the stated bankruptcy probability reduction.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Current Status Analysis and Improvement Scenarios, but could benefit from more detailed metrics in the Risk Management section to enhance clarity on potential risks.",3,"The report contains clear numerical data and actionable insights, but it uses excessive jargon and vague expressions, such as 'quality score' and 'sparsity,' which may not be easily understood by all executive readers.",0.6,12,20
4834,G46,3.15,Reject,2,Just 8/20 ground-truth CF values (40%) matched; most figures are missing or incorrect.,3,"The proposal outlines specific improvement targets and actions, but lacks clear responsible parties, deadlines, and methodologies for implementation, making it partially actionable but still abstract in execution.",4,"The report provides strategic insights into the company's financial challenges and proposes actionable improvement scenarios and a clear roadmap, particularly emphasizing the need for cost control and capital structure enhancement, which are critical for survival in the wholesale trade sector.",3,"The report presents a logical flow in identifying financial challenges and proposing improvement scenarios; however, the extreme percentage changes raise concerns about the validity of the data, which may undermine the causal reasoning behind the proposed actions.",5,"The report includes all 6 required sections with sufficient substance, providing a comprehensive analysis of the financial status, improvement scenarios, action roadmap, risk management, and performance KPIs, all of which are essential for strategic decision-making.",3,"The report contains excessive jargon and complex percentages that may confuse executive readers, such as '4909.7% decrease in Prior-Year Pre-Tax Income,' which could be simplified for clarity and accessibility.",0.4,8,20
5231,G46,3.3,Conditional Pass,3,Only 12/20 ground-truth CF values (60%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines necessary actions and improvement scenarios but lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides a comprehensive analysis of the company's financial challenges and outlines actionable strategies for improvement, such as immediate cost-cutting measures and increasing short-term borrowings, which reflect a genuine understanding of the firm's urgent needs and the characteristics of its sector.",3,"The report presents a coherent flow of information, logically linking the company's financial decline to the need for immediate strategic adjustments, but the reliance on extreme percentage changes without context may undermine the clarity of the proposed improvement scenarios.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Current Status Analysis and Action Roadmap, but could benefit from more detailed metrics in the Improvement Scenarios and Risk Management sections to enhance clarity and actionable insights.",3,"The report contains clear sections and actionable insights, but it uses excessive jargon and complex percentage changes (e.g., '8811.7% decrease') that may confuse executive readers, detracting from overall clarity.",0.6,12,20
5255,G46,3.55,Conditional Pass,4,15/20 ground-truth CF values (75%) matched; minor narrative paraphrase acceptable per rubric.,3,"While the report outlines specific financial targets and actions, it lacks clear responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides strategic insights by identifying key areas for improvement, such as liquidity and expense management, while also setting clear performance KPIs and an action roadmap, which are essential for the firm's survival in a competitive financial sector.",3,"The report presents a coherent flow of information and logical connections between the current financial status, recommended improvements, and action plans; however, the suggested increases in liabilities without a clear rationale for their necessity may raise concerns about financial prudence.",4,"The report includes all 6 required sections, each with substantial content; however, the 'Improvement Scenarios' section could benefit from clearer prioritization of recommendations to enhance actionable insights.",3,"The report contains clear metrics and targets, but it uses excessive jargon and complex percentages (e.g., '584.8% increase') that may not be easily understood by executive readers without a financial background.",0.75,15,20
5268,G46,3.45,Conditional Pass,3,Only 12/20 ground-truth CF values (60%) matched; at least one key figure appears miscalculated or omitted.,3,"While the report outlines specific targets and improvement scenarios, it lacks clearly defined responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and less actionable for immediate execution.",4,"The report provides substantial strategic insights, including a detailed analysis of financial improvements and a clear action roadmap, but could benefit from more contextual industry benchmarks to fully reflect the characteristics of the wholesale trade sector.",4,"The report presents a logically coherent flow, with clear causal relationships between proposed actions and expected financial improvements, particularly in the Action Roadmap and Risk Management sections, although some numerical claims could benefit from clearer contextual explanations.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Current Status Analysis and Improvement Scenarios, but could benefit from more detailed metrics in the Performance KPIs section to enhance clarity and completeness.",3,"While the report provides detailed financial metrics and improvement targets, it uses excessive jargon such as 'Proximity' and 'Sparsity' without clear definitions, which may confuse executive readers unfamiliar with these terms.",0.6,12,20
5797,L68,3.7,Pass,4,15/20 ground-truth CF values (75%) matched; minor narrative paraphrase acceptable per rubric.,3,"While the report outlines specific financial targets and improvement scenarios, it lacks detailed responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and challenging to execute immediately.",4,"The report provides strategic insights into financial improvements and actionable steps, such as increasing accounts receivable management and strategic borrowing, which are essential for the firm's survival in a challenging financial landscape.",4,"The report presents a logically coherent flow, with clear causal relationships between financial improvements and the reduction of bankruptcy probability, although some numerical claims could be misleading without context.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Executive Summary and Current Status Analysis, but could benefit from more detailed metrics in the Action Roadmap and Performance KPIs sections to enhance clarity and actionable insights.",3,"While the report contains valuable financial data and insights, it uses excessive jargon and complex numerical expressions that may not be easily understood by executive readers, such as 'sparsity of 0.2742' and 'bankruptcy probability reduction target from 80.5% to 16.0%', which could be simplified for clarity.",0.75,15,20
5893,G46,3.05,Reject,2,Just 8/20 ground-truth CF values (40%) matched; most figures are missing or incorrect.,3,"While the report outlines significant financial issues and proposes a roadmap for improvement, it lacks specific responsible parties, deadlines, and methodologies for implementation, making it challenging to execute immediately.",4,"The report provides a comprehensive analysis of the company's financial distress, identifies critical areas for improvement, and outlines actionable strategies, particularly in the Action Roadmap section, which reflects a genuine understanding of the firm's sector challenges and the need for strategic adjustments.",3,"The report presents a logical flow of analysis and proposed actions, but the drastic percentage decreases in key financial indicators raise concerns about the feasibility of the proposed strategies, particularly the assumption that addressing these declines will lead to the desired bankruptcy probability reduction.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Executive Summary and Current Status Analysis, but could benefit from more detailed metrics in the Action Roadmap and Performance KPIs for clearer implementation guidance.",3,"The report contains excessive technical jargon and complex numerical expressions, such as '41788.2% decrease' and 'Reserve Ratio at -2363.9873', which may hinder understanding for executive readers who may not be familiar with such detailed financial metrics.",0.4,8,20
6423,F42,3.45,Conditional Pass,3,Only 12/20 ground-truth CF values (60%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines clear targets and improvement scenarios, but lacks specific responsible parties, deadlines, and methodologies for execution, making it abstract and less actionable for immediate implementation.",4,"The report provides strategic insights by identifying key performance indicators and actionable steps to improve financial health, such as focusing on stabilizing operating income and enhancing non-operating revenue, which are crucial for the firm's survival in a challenging financial landscape.",4,"The report presents a logical flow of analysis and recommendations, clearly linking the company's current financial challenges with actionable improvement scenarios, though some numerical claims may benefit from clearer contextual explanations.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Executive Summary and Current Status Analysis, though the Action Roadmap could benefit from more specific timelines and measurable outcomes.",3,"The report contains clear data and actionable recommendations, but it uses excessive jargon and complex metrics (e.g., 'Sparsity index' and 'proximity index') that may not be easily understood by all executive readers.",0.6,12,20
6642,F42,3.95,Pass,5,19/20 ground-truth CF values (95%) found verbatim (within tolerance) in the report.,3,"The proposal outlines ambitious financial targets and short- to medium-term actions but lacks specific responsible parties, deadlines, and detailed methodologies, making it somewhat abstract and less actionable for immediate execution.",4,"The report provides strategic insights through a detailed analysis of financial metrics, ambitious improvement targets, and a clear action roadmap, particularly highlighting the need for operational efficiency and risk management, which are crucial for survival in the construction sector.",4,"The report presents a coherent flow of information, logically connecting the company's current financial status, improvement scenarios, and action roadmap, although the drastic percentage increases may raise questions about feasibility.",4,"The report includes all 6 required sections with substantial content, particularly in the Executive Summary and Improvement Scenarios, but could benefit from more detailed metrics and specific timelines in the Action Roadmap and Risk Management sections to enhance clarity and actionable insights.",3,"The report contains some clear metrics and targets, but it uses excessive jargon such as 'Sparsity' and 'Proximity' without adequate explanation, which may confuse executive readers unfamiliar with these terms.",0.95,19,20
6647,F42,3.4,Conditional Pass,3,Only 13/20 ground-truth CF values (65%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines specific improvement scenarios and short- to medium-term actions, but lacks clear responsible parties, deadlines, and methodologies for implementation, making it somewhat abstract and impractical for immediate execution.",4,"The report provides valuable strategic insights, such as the significant improvement in bankruptcy probability and detailed recommendations for operational efficiencies and risk management, which are crucial for the construction sector's survival.",3,"The report presents a logical flow in identifying improvements and actions needed, but the reliance on percentage increases without clear context on their implications may confuse readers regarding the actual financial health and risks of the company.",5,"The report includes all 6 required sections, each with sufficient substance, providing a comprehensive overview of the financial analysis, current status, improvement scenarios, action roadmap, risk management, and performance KPIs, all supported by relevant data and clear recommendations.",3,"The report contains clear financial metrics and improvements but uses excessive jargon and complex percentages that may not be easily understood by executive readers, such as 'EBITDA as a percentage of revenue' and 'non-current liabilities (% of total assets)', which could be simplified for better accessibility.",0.65,13,20
6658,F42,3.45,Conditional Pass,3,Only 12/20 ground-truth CF values (60%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines clear targets and improvement scenarios, but lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and challenging to execute immediately.",4,"The report provides strategic insights by detailing significant improvements in bankruptcy probability and tangible assets, while also outlining a clear action roadmap and risk management strategies, indicating a comprehensive understanding of the firm's financial landscape.",4,"The report presents a logically coherent flow, with clear causal relationships such as the need for careful adjustments due to the significant changes in financial variables, although some numerical claims could benefit from clearer contextualization.",4,"The report includes all 6 required sections with sufficient substance, particularly in the Executive Summary and Current Status Analysis, but could benefit from more detailed metrics and specific timelines in the Action Roadmap.",3,"While the report presents important financial metrics and improvements, it contains excessive jargon and complex expressions, such as 'proximity score' and 'sparsity score,' which may not be easily understood by executive readers without a financial background.",0.6,12,20
6660,L68,3.6,Pass,3,Only 11/20 ground-truth CF values (55%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines clear financial targets and improvement scenarios, but lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and less actionable.",4,"The report provides strategic insights into the company's financial health and actionable steps for improvement, such as focusing on asset management and exploring partnerships, while also reflecting the complexities of the financial sector through detailed analysis of key ratios and risk management strategies.",4,"The report logically connects improvements in financial ratios to the goal of reducing bankruptcy probability, with clear action steps and risk management strategies, although some numerical claims could benefit from clearer causal explanations.",5,"The report includes all 6 required sections, each with sufficient substance; the Executive Summary provides a clear overview, Current Status Analysis offers detailed financial metrics, Improvement Scenarios outline specific targets, Action Roadmap presents actionable steps, Risk Management emphasizes essential strategies, and Performance KPIs set measurable goals.",4,"The report uses clear language and provides specific financial metrics, but it could benefit from reducing jargon such as 'Quick Assets ratio' and 'Non-Current Liabilities' for greater accessibility to executive readers unfamiliar with technical terms.",0.55,11,20
6687,L68,3.55,Conditional Pass,3,Only 10/20 ground-truth CF values (50%) matched; at least one key figure appears miscalculated or omitted.,3,"The proposal outlines a clear action roadmap with short-term and medium-term actions, but lacks specific responsible parties, deadlines, and methodologies, making it somewhat abstract and impractical for immediate execution.",4,"The report provides a comprehensive analysis of the firm's financial status, identifies key areas for improvement, and outlines a strategic action roadmap, reflecting a genuine understanding of the real estate sector's challenges and opportunities.",4,"The report presents a logical flow of analysis and recommendations, clearly linking the company's improved retained earnings to potential recovery strategies, although the drastic declines in key metrics could benefit from more detailed causal explanations.",5,"The report includes all 6 required sections with sufficient substance, providing a clear executive summary, detailed current status analysis, actionable improvement scenarios, a comprehensive action roadmap, a robust risk management framework, and measurable performance KPIs, all of which are essential for a financial consulting report.",3,"The report contains clear sections and actionable insights, but it uses excessive jargon and complex metrics (e.g., '70.2pp improvement' and '151.3% increase') that may not be easily understood by executive readers without a financial background.",0.5,10,20
7066,L68,2.8,Reject,1,"Almost no ground-truth CF values found in the report (2/20, 10%).",3,"While the report outlines necessary actions and targets, it lacks specific responsible parties, deadlines, and detailed methodologies for implementation, making it somewhat abstract and challenging to execute immediately.",4,"The report provides strategic insights into the company's dire financial situation and outlines actionable steps to improve liquidity and operational stability, such as asset liquidation and diversification of income streams, which are critical for survival in a challenging sector.",3,"The report presents a logical flow of identifying financial challenges and proposing actions to improve bankruptcy probability; however, the suggested actions, particularly the complete elimination of certain asset categories, may not be feasible or realistic, which weakens the causal reasoning.",4,"The report includes all 6 required sections with sufficient substance; however, the 'Improvement Scenarios' section could benefit from more detailed strategies on how to achieve the proposed financial targets.",3,"While the report presents critical financial data and actionable insights, it contains excessive jargon and vague expressions, such as '100.0% decrease' without context, which may hinder understanding for executive readers unfamiliar with financial metrics.",0.1,2,20
7133,L68,3.6,Pass,3,Only 10/20 ground-truth CF values (50%) matched; at least one key figure appears miscalculated or omitted.,3,"The report outlines significant financial improvements and targets, but lacks specific responsible parties, deadlines, and detailed methodologies for execution, making it somewhat abstract and impractical for immediate implementation.",4,"The report provides a comprehensive analysis of financial improvements, strategic targets, and actionable steps tailored to the real estate sector, demonstrating genuine strategic insight rather than merely listing numbers.",4,"The report presents a coherent flow of information, with clear causal reasoning linking financial improvements to strategic actions, though some numerical claims could be misleading without context.",5,"The report includes all 6 required sections, each with sufficient substance, providing a comprehensive overview of the company's financial status, improvement scenarios, actionable steps, risk management strategies, and performance KPIs, all of which are clearly articulated and relevant to the financial consulting objectives.",4,"The report uses clear language and provides specific financial metrics, but it could benefit from reducing jargon such as 'Sparsity of financial variables' and simplifying complex percentage increases for better accessibility to executive readers.",0.5,10,20
